rk,team,date,venue,opp,comp,result,gf,ga,gd,poss,g-pk,pk,pkatt,pkm,round,home,xg,xga
1,Arsenal,17-08-2025,@,Manchester Utd,Premier League,W,1,0,1,39,1,0,0,0,Matchweek 1,0,1.3,1.5
2,Arsenal,23-08-2025,,Leeds United,Premier League,W,5,0,5,68,4,1,1,0,Matchweek 2,1,2.9,0.2
3,Arsenal,31-08-2025,@,Liverpool,Premier League,L,0,1,-1,47,0,0,0,0,Matchweek 3,0,0.5,0.5
4,Arsenal,13-09-2025,,Nottingham Forest,Premier League,W,3,0,3,54,3,0,0,0,Matchweek 4,1,1.8,0.2
5,Arsenal,21-09-2025,,Manchester City,Premier League,D,1,1,0,67,1,0,0,0,Matchweek 5,1,0.9,0.9
6,Arsenal,28-09-2025,@,Newcastle United,Premier League,W,2,1,1,64,2,0,0,0,Matchweek 6,0,2,0.6
7,Arsenal,04-10-2025,,West Ham United,Premier League,W,2,0,2,68,1,1,1,0,Matchweek 7,1,2.8,0.5
8,Arsenal,18-10-2025,@,Fulham,Premier League,W,1,0,1,63,1,0,0,0,Matchweek 8,0,1.9,0.4
9,Arsenal,26-10-2025,,Crystal Palace,Premier League,W,1,0,1,60,1,0,0,0,Matchweek 9,1,0.9,0.4
10,Arsenal,01-11-2025,@,Burnley,Premier League,W,2,0,2,54,2,0,0,0,Matchweek 10,0,2.4,0.4
11,Arsenal,08-11-2025,@,Sunderland,Premier League,D,2,2,0,65,2,0,0,0,Matchweek 11,0,1.9,0.4
12,Arsenal,23-11-2025,,Tottenham Hotspur,Premier League,W,4,1,3,57,4,0,0,0,Matchweek 12,1,2,0.1
13,Arsenal,30-11-2025,@,Chelsea,Premier League,D,1,1,0,62,1,0,0,0,Matchweek 13,0,1.3,0.8
14,Arsenal,03-12-2025,,Brentford,Premier League,W,2,0,2,62,2,0,0,0,Matchweek 14,1,1.8,0.3
15,Arsenal,06-12-2025,@,Aston Villa,Premier League,L,1,2,-1,53,1,0,0,0,Matchweek 15,0,1.9,2.2
16,Arsenal,13-12-2025,,Wolves,Premier League,W,2,1,1,69,0,0,0,0,Matchweek 16,1,1.4,0.3
17,Arsenal,20-12-2025,@,Everton,Premier League,W,1,0,1,65,0,1,1,0,Matchweek 17,0,2,0.2
18,Arsenal,27-12-2025,,Brighton,Premier League,W,2,1,1,53,1,0,0,0,Matchweek 18,1,3.1,0.8
19,Arsenal,30-12-2025,,Aston Villa,Premier League,W,4,1,3,47,4,0,0,0,Matchweek 19,1,3,2.5
20,Arsenal,03-01-2026,@,Bournemouth,Premier League,W,3,2,1,57,3,0,0,0,Matchweek 20,0,1.1,1.4
21,Arsenal,08-01-2026,,Liverpool,Premier League,D,0,0,0,48,0,0,0,0,Matchweek 21,1,0.6,0.3
22,Arsenal,17-01-2026,@,Nottingham Forest,Premier League,D,0,0,0,61,0,0,0,0,Matchweek 22,0,2.1,0.3
23,Arsenal,25-01-2026,,Manchester Utd,Premier League,L,2,3,-1,57,1,0,0,0,Matchweek 23,1,1.2,0.7
24,Arsenal,31-01-2026,@,Leeds United,Premier League,W,4,0,4,51,4,0,0,0,Matchweek 24,0,2.2,0.2
25,Arsenal,07-02-2026,,Sunderland,Premier League,W,3,0,3,50,3,0,0,0,Matchweek 25,1,1.5,0.2
26,Arsenal,12-02-2026,@,Brentford,Premier League,D,1,1,0,60,1,0,0,0,Matchweek 26,0,0.6,1.5
27,Arsenal,18-02-2026,@,Wolves,Premier League,D,2,2,0,58,2,0,0,0,Matchweek 27,0,1.6,0.3
28,Arsenal,22-02-2026,@,Tottenham Hotspur,Premier League,W,4,1,3,61,4,0,0,0,Matchweek 28,0,2.1,0.8
29,Arsenal,01-03-2026,,Chelsea,Premier League,W,2,1,1,41,2,0,0,0,Matchweek 29,1,1.1,1
30,Arsenal,04-03-2026,@,Brighton,Premier League,W,1,0,1,40,1,0,0,0,Matchweek 30,0,0.5,0.8
31,Arsenal,14-03-2026,,Everton,Premier League,W,2,0,2,65,2,0,0,0,Matchweek 31,1,2.7,1
32,Arsenal,11-04-2026,,Bournemouth,Premier League,L,1,2,-1,53,0,1,1,0,Matchweek 32,1,1.2,2.3
33,Arsenal,19-04-2026,@,Manchester City,Premier League,L,1,2,-1,41,1,0,0,0,Matchweek 33,0,1.6,1.4
34,Arsenal,25-04-2026,,Newcastle United,Premier League,W,1,0,1,45,1,0,0,0,Matchweek 34,1,0.5,1
35,Arsenal,03-05-2026,,Fulham,Premier League,,,,,,,,,,Matchweek 35,1,,
36,Arsenal,10-05-2026,@,West Ham United,Premier League,,,,,,,,,,Matchweek 36,0,,
37,Arsenal,17-05-2026,,Burnley,Premier League,,,,,,,,,,Matchweek 37,1,,
38,Arsenal,24-05-2026,@,Crystal Palace,Premier League,,,,,,,,,,Matchweek 38,0,,
