team,title_prob,top4_prob,releg_prob,pts_p5,pts_median,pts_p95,real_points,real_rank,inside_range,cutoff_gameweek
Liverpool,0.4539,0.9041,0.0,63.0,76.0,88.0,60,5,False,5
Arsenal,0.297,0.8383,0.0,60.0,73.0,85.0,85,1,True,5
Chelsea,0.0908,0.5762,0.0001,55.0,67.0,79.0,52,10,False,5
Manchester City,0.0657,0.4846,0.0001,53.0,65.0,78.0,78,2,True,5
Manchester United,0.0295,0.3173,0.0006,49.0,62.0,75.0,71,3,True,5
Bournemouth,0.0254,0.2938,0.001,49.0,62.0,74.0,57,6,True,5
Crystal Palace,0.0211,0.2553,0.0005,49.0,61.0,73.0,45,15,False,5
Tottenham,0.0115,0.1772,0.002,46.0,59.0,71.0,41,17,False,5
Newcastle United,0.0031,0.075,0.0092,43.0,55.0,67.0,49,12,True,5
Sunderland,0.0008,0.0153,0.0425,38.0,49.0,61.0,54,7,True,5
Brighton,0.0005,0.0184,0.0453,38.0,49.0,61.0,53,8,True,5
Fulham,0.0004,0.0169,0.045,38.0,49.0,61.0,52,10,True,5
Everton,0.0002,0.0191,0.0329,38.0,50.0,62.0,49,12,True,5
Leeds,0.0001,0.0039,0.119,34.0,45.0,57.0,47,14,True,5
Brentford,0.0,0.0031,0.1228,34.0,44.5,56.0,53,8,True,5
Aston Villa,0.0,0.0003,0.3324,28.0,40.0,51.0,65,4,False,5
Burnley,0.0,0.0001,0.7373,22.0,33.0,44.0,22,19,True,5
Nottingham Forest,0.0,0.0011,0.2647,30.0,41.0,52.0,44,16,True,5
West Ham,0.0,0.0,0.5057,26.0,37.0,48.0,39,18,True,5
Wolverhampton Wanderers,0.0,0.0,0.7389,21.0,32.0,44.0,20,20,False,5
