feature,description,in_final_model
xG_roll5,"The team's own expected goals, averaged over its previous 5 matches.",True
xGA_roll5,"Expected goals conceded, averaged over its previous 5 matches.",True
pts_roll5,Points per match over its previous 5 matches.,True
win_rate_roll5,Share of its previous 5 matches won.,True
is_home,"1 if the team is playing at home, 0 away.",True
is_big6_opp,1 if the opponent is one of the traditional Big 6 clubs.,True
opp_xgd_roll5,"The opponent's own rolling expected goal difference, a continuous measure of opponent quality.",True
parity_gap,"How evenly matched the two sides are, the absolute difference between their rolling goal differences.",True
stakes_intensity,"How much is riding on this match, 0 to 1, from table position, time of season, form and rivalry.",True
is_non_big6_rivalry,"1 for a derby that is not already captured by the Big 6 flag, currently only Liverpool vs Everton.",True
h2h_pts_avg3,Average points this team took from its last 3 meetings with this opponent.,True
