team,season,gameweek,date,opponent,venue,scored,conceded,result,points,xG,xGA,match_drop_index,stakes_intensity,overperformed,is_contention_season,is_title_challenge
Arsenal,1920,29,2020-06-17 19:15:00,Manchester City,away,0,3,L,0,0.496759,2.73725,1.035639605263158,0.6092,False,False,False
Arsenal,1920,34,2020-07-07 19:15:00,Leicester,home,1,1,D,1,1.29023,1.00238,-0.22853089473684207,0.4135,True,False,False
Arsenal,1920,35,2020-07-12 15:30:00,Tottenham,away,1,2,L,0,0.68991,1.81846,0.47966910526315787,0.4326,False,False,False
Arsenal,2021,29,2021-03-21 15:00:00,West Ham,away,3,3,D,1,1.35217,2.50629,0.6956796842105262,0.4383,False,False,False
Arsenal,2021,30,2021-04-03 19:00:00,Liverpool,home,0,3,L,0,0.161161,2.43732,1.2566991842105264,0.4089,False,False,False
Arsenal,2021,32,2021-04-18 12:30:00,Fulham,home,1,1,D,1,2.85573,0.839128,-0.8896813157894736,0.3929,True,False,False
Arsenal,2122,29,2022-04-04 19:00:00,Crystal Palace,away,0,3,L,0,1.05199,1.39707,0.3699356710526316,0.5635,False,True,False
Arsenal,2122,30,2022-04-09 14:00:00,Brighton,home,1,2,L,0,2.35153,0.596106,-0.6803163289473684,0.6494,True,True,False
Arsenal,2122,31,2022-04-16 14:00:00,Southampton,away,0,1,L,0,1.35002,1.04007,0.04242067105263159,0.5861,False,True,False
Arsenal,2122,36,2022-05-12 18:45:00,Tottenham,away,0,3,L,0,0.387446,3.42522,1.7162826710526315,0.8041,False,True,False
Arsenal,2122,37,2022-05-16 19:00:00,Newcastle United,away,0,2,L,0,0.492454,1.68299,0.7926636710526316,0.4957,False,True,False
Arsenal,2223,30,2023-04-09 15:30:00,Liverpool,away,2,2,D,1,1.53631,4.64012,1.9643907328947368,0.8659,False,True,True
Arsenal,2223,31,2023-04-16 13:00:00,West Ham,away,2,2,D,1,2.71782,1.96095,0.03405073289473681,0.8931,False,True,True
Arsenal,2223,32,2023-04-21 19:00:00,Southampton,home,3,3,D,1,2.39609,1.43063,-0.0702442671052631,0.873,True,True,True
Arsenal,2223,33,2023-04-26 19:00:00,Manchester City,away,1,4,L,0,0.398372,2.01168,1.219139732894737,0.8787,False,True,True
Arsenal,2324,29,2024-03-31 16:30:00,Manchester City,away,0,0,D,1,0.511402,1.22009,1.046585494736842,0.9292,False,True,True
Arsenal,2324,32,2024-04-14 15:30:00,Aston Villa,home,0,2,L,0,1.89003,0.929049,0.211750994736842,0.8294,False,True,True
Arsenal,2425,31,2025-04-05 11:30:00,Everton,away,1,1,D,1,1.4031,1.22875,0.35479925394736855,0.5861,False,True,True
Arsenal,2425,32,2025-04-12 16:30:00,Brentford,home,1,1,D,1,0.767369,0.588583,0.35258125394736856,0.622,False,True,True
Arsenal,2425,34,2025-04-23 19:00:00,Crystal Palace,home,2,2,D,1,1.92149,2.50515,0.7338042539473686,0.6679,False,True,True
Arsenal,2425,35,2025-05-03 16:30:00,Bournemouth,home,1,2,L,0,2.05484,1.41783,0.12346925394736852,0.7266,False,True,True
Arsenal,2425,36,2025-05-11 15:30:00,Liverpool,away,2,2,D,1,2.18795,2.74682,0.7214092539473687,0.5723,False,True,True
Arsenal,2526,32,2026-04-11 11:30:00,Bournemouth,home,1,2,L,0,3.16346,1.39461,-0.3008354236842106,0.9167,True,True,True
Arsenal,2526,33,2026-04-19 15:30:00,Manchester City,away,1,2,L,0,2.28964,2.61528,0.7464095763157894,1.0,False,True,True
Liverpool,1920,30,2020-06-21 18:00:00,Everton,away,0,0,D,1,0.659123,0.621456,0.4498569184210526,1.0,False,True,False
Liverpool,1920,32,2020-07-02 19:15:00,Manchester City,away,0,4,L,0,0.819606,2.65433,1.3860524184210528,1.0,False,True,False
Liverpool,1920,35,2020-07-11 14:00:00,Burnley,home,1,1,D,1,2.17649,0.452331,-0.39338908157894725,0.9688,True,True,False
Liverpool,1920,36,2020-07-15 19:15:00,Arsenal,away,1,2,L,0,2.2233,1.31516,0.014620418421052661,0.9811,False,True,False
Liverpool,2021,32,2021-04-19 19:00:00,Leeds,away,1,1,D,1,1.60043,2.59719,0.8260501315789471,0.622,False,True,False
Liverpool,2021,33,2021-04-24 11:30:00,Newcastle United,home,1,1,D,1,2.84708,0.860694,-0.6655228684210528,0.5466,True,True,False
Liverpool,2122,31,2022-04-10 15:30:00,Manchester City,away,2,2,D,1,1.29983,1.34647,0.8166271447368421,1.0,False,True,False
Liverpool,2122,35,2022-05-07 18:45:00,Tottenham,home,1,1,D,1,1.0481,0.982635,0.760574644736842,0.7266,False,True,False
Liverpool,2324,31,2024-04-07 14:30:00,Manchester United,away,2,2,D,1,4.43457,0.814509,-1.1865240855263157,1.0,True,True,True
Liverpool,2324,32,2024-04-14 13:00:00,Crystal Palace,home,0,1,L,0,3.04497,2.12879,0.16541641447368405,0.8294,False,True,True
Liverpool,2324,34,2024-04-24 19:00:00,Everton,away,0,2,L,0,1.87155,1.89111,0.6332864144736842,0.7861,False,True,True
Liverpool,2425,31,2025-04-06 13:00:00,Fulham,away,2,3,L,0,1.40638,1.72764,0.8306144736842105,0.8931,False,True,True
Liverpool,2425,35,2025-05-04 15:30:00,Chelsea,away,1,3,L,0,1.4267,3.51944,1.7163544736842105,0.9688,False,True,True
Liverpool,2425,36,2025-05-11 15:30:00,Arsenal,home,2,2,D,1,2.74682,2.18795,0.39054947368421034,0.9811,False,True,True
Liverpool,2425,37,2025-05-19 19:00:00,Brighton,away,2,3,L,0,3.065,2.17789,0.2264294736842105,0.9914,False,True,True
Liverpool,2425,38,2025-05-25 15:00:00,Crystal Palace,home,1,1,D,1,1.92122,1.4144,0.4165744736842105,1.0,False,True,True
Liverpool,2526,29,2026-03-03 20:15:00,Wolverhampton Wanderers,away,1,2,L,0,2.17217,0.636033,-0.5918983684210526,0.5635,True,True,True
Liverpool,2526,30,2026-03-15 16:30:00,Tottenham,home,1,1,D,1,1.30076,1.15636,0.10397013157894741,0.6013,False,True,True
Liverpool,2526,31,2026-03-21 12:30:00,Brighton,away,1,2,L,0,0.956801,3.42956,1.4125496315789472,0.5303,False,True,True
Liverpool,2526,35,2026-05-03 15:30:00,Manchester United,away,2,3,L,0,1.02814,2.55612,0.9401601315789473,0.8766,False,True,True
Liverpool,2526,36,2026-05-09 12:30:00,Chelsea,home,1,1,D,1,0.623191,0.597184,0.16316663157894734,0.7358,False,True,True
Manchester City,1920,31,2020-06-25 19:15:00,Chelsea,away,1,2,L,0,0.690594,4.206,2.6156977894736846,0.5303,False,True,False
Manchester City,1920,33,2020-07-05 18:00:00,Southampton,away,0,1,L,0,3.39575,0.628765,-0.5254977105263159,0.6246,True,True,False
Manchester City,2021,32,2021-04-10 11:30:00,Leeds,home,1,2,L,0,1.98825,0.17525,-0.28673758026315793,0.9167,True,True,False
Manchester City,2021,35,2021-05-08 16:30:00,Chelsea,home,1,2,L,0,1.79168,0.619724,0.03378441973684215,0.9688,False,True,False
Manchester City,2021,37,2021-05-18 18:00:00,Brighton,away,2,3,L,0,1.07139,1.22824,0.6981874197368421,0.9914,False,True,False
Manchester City,2122,31,2022-04-10 15:30:00,Liverpool,home,2,2,D,1,1.34647,1.29983,0.8738856447368419,1.0,False,True,False
Manchester City,2122,37,2022-05-15 13:00:00,West Ham,away,2,2,D,1,2.14723,1.0088,0.327990644736842,0.9914,False,True,False
Manchester City,2223,37,2023-05-24 19:00:00,Brighton,away,1,1,D,1,1.92973,2.11486,0.7519485802631579,0.9914,False,True,True
Manchester City,2223,38,2023-05-28 15:30:00,Brentford,away,0,1,L,0,1.18649,1.43893,0.7856035802631578,1.0,False,True,True
Manchester City,2324,29,2024-03-31 16:30:00,Arsenal,home,0,0,D,1,1.22009,0.511402,0.3335155592105265,0.9014,False,True,True
Manchester City,2425,29,2025-03-15 15:00:00,Brighton,home,2,2,D,1,2.02642,2.11119,0.3087696447368423,0.5844,False,True,True
Manchester City,2425,31,2025-04-06 15:30:00,Manchester United,away,0,0,D,1,0.687894,1.23317,0.5390226447368422,0.7082,False,True,True
Manchester City,2526,29,2026-03-04 19:30:00,Nottingham Forest,home,2,2,D,1,2.72655,1.23642,-0.3126050921052631,0.7236,True,True,True
Manchester City,2526,30,2026-03-14 20:00:00,West Ham,away,1,1,D,1,1.9546,0.488982,-0.30034909210526306,0.6735,True,True,True
Manchester City,2526,34,2026-05-04 20:00:00,Everton,away,3,3,D,1,1.41706,1.68558,0.5667199078947369,0.827,False,True,True
Manchester United,1920,35,2020-07-13 19:00:00,Southampton,home,2,2,D,1,1.5033,1.8051,0.5209986710526315,0.7266,False,True,False
Manchester United,1920,37,2020-07-22 17:00:00,West Ham,home,1,1,D,1,0.984161,1.29009,0.5230631710526317,0.6196,False,True,False
