season,date,team,opponent,venue,xG,xGA,xgd,scored,conceded,points,is_win
1718,2017-08-11 19:45:00,Arsenal,Leicester,home,2.54329,1.46495,1.0783399999999999,4,3,3,1.0
1718,2017-09-09 15:00:00,Arsenal,Bournemouth,home,2.48732,0.577291,1.910029,3,0,3,1.0
1718,2017-09-25 20:00:00,Arsenal,West Bromwich Albion,home,2.39316,0.766652,1.6265079999999998,2,0,3,1.0
1718,2017-10-01 12:00:00,Arsenal,Brighton,home,2.47818,0.386343,2.091837,2,0,3,1.0
1718,2017-10-28 15:00:00,Arsenal,Swansea,home,2.37777,0.8355,1.5422699999999998,2,1,3,1.0
1718,2017-11-18 12:30:00,Arsenal,Tottenham,home,2.24246,0.591192,1.651268,2,0,3,1.0
1718,2017-11-29 19:45:00,Arsenal,Huddersfield,home,4.47889,0.475716,4.003174,5,0,3,1.0
1718,2017-12-02 17:30:00,Arsenal,Manchester United,home,4.24057,2.06831,2.17226,1,3,0,0.0
1718,2017-12-16 15:00:00,Arsenal,Newcastle United,home,2.02472,0.286547,1.7381729999999997,1,0,3,1.0
1718,2017-12-22 19:45:00,Arsenal,Liverpool,home,1.13104,2.05947,-0.9284300000000001,3,3,1,0.0
1718,2018-01-03 19:45:00,Arsenal,Chelsea,home,1.23205,3.0768,-1.84475,2,2,1,0.0
1718,2018-01-20 15:00:00,Arsenal,Crystal Palace,home,3.56519,0.501202,3.0639879999999997,4,1,3,1.0
1718,2018-02-03 17:30:00,Arsenal,Everton,home,3.19622,1.49065,1.7055699999999998,5,1,3,1.0
1718,2018-03-01 19:45:00,Arsenal,Manchester City,home,1.30172,1.92605,-0.62433,0,3,0,0.0
1718,2018-03-11 13:30:00,Arsenal,Watford,home,2.38263,1.54676,0.8358699999999999,3,0,3,1.0
1718,2018-04-01 13:30:00,Arsenal,Stoke,home,3.56649,0.342516,3.223974,3,0,3,1.0
1718,2018-04-08 13:15:00,Arsenal,Southampton,home,1.58895,2.16699,-0.5780400000000001,3,2,3,1.0
1718,2018-04-22 12:30:00,Arsenal,West Ham,home,2.07299,0.623161,1.4498289999999998,4,1,3,1.0
1718,2018-05-06 16:30:00,Arsenal,Burnley,home,2.92408,0.21671,2.70737,5,0,3,1.0
1819,2018-08-12 18:00:00,Arsenal,Manchester City,home,0.445187,2.0178,-1.5726129999999998,0,2,0,0.0
1819,2018-08-25 17:00:00,Arsenal,West Ham,home,1.7852,1.17924,0.6059599999999998,3,1,3,1.0
1819,2018-09-23 15:00:00,Arsenal,Everton,home,0.930544,1.06523,-0.13468599999999986,2,0,3,1.0
1819,2018-09-29 14:00:00,Arsenal,Watford,home,1.57061,2.62141,-1.0508,2,0,3,1.0
1819,2018-10-22 19:00:00,Arsenal,Leicester,home,2.91637,0.932491,1.9838790000000002,3,1,3,1.0
1819,2018-11-03 17:30:00,Arsenal,Liverpool,home,1.62321,1.19558,0.42762999999999995,1,1,1,0.0
1819,2018-11-11 16:30:00,Arsenal,Wolverhampton Wanderers,home,0.965843,1.86549,-0.8996470000000001,1,1,1,0.0
1819,2018-12-02 14:05:00,Arsenal,Tottenham,home,2.71421,1.0926,1.62161,4,2,3,1.0
1819,2018-12-08 15:00:00,Arsenal,Huddersfield,home,2.02156,0.308361,1.713199,1,0,3,1.0
1819,2018-12-22 12:30:00,Arsenal,Burnley,home,1.4656,1.03237,0.43323,3,1,3,1.0
1819,2019-01-01 15:00:00,Arsenal,Fulham,home,4.43325,1.71312,2.72013,4,1,3,1.0
1819,2019-01-19 17:30:00,Arsenal,Chelsea,home,2.09412,0.755304,1.3388160000000002,2,0,3,1.0
1819,2019-01-29 19:45:00,Arsenal,Cardiff,home,2.69339,0.597893,2.095497,2,1,3,1.0
1819,2019-02-24 14:05:00,Arsenal,Southampton,home,2.35088,0.613167,1.737713,2,0,3,1.0
1819,2019-02-27 19:45:00,Arsenal,Bournemouth,home,3.18716,0.88618,2.30098,5,1,3,1.0
1819,2019-03-10 16:30:00,Arsenal,Manchester United,home,1.52723,2.3703,-0.8430699999999998,2,0,3,1.0
1819,2019-04-01 20:00:00,Arsenal,Newcastle United,home,1.04458,0.0441445,1.0004355,2,0,3,1.0
1819,2019-04-21 16:00:00,Arsenal,Crystal Palace,home,1.54245,2.56216,-1.01971,2,3,0,0.0
1819,2019-05-05 15:30:00,Arsenal,Brighton,home,2.36178,1.90585,0.45592999999999995,1,1,1,0.0
1718,2017-08-19 17:30:00,Arsenal,Stoke,away,1.40658,0.692644,0.7139359999999999,0,1,0,0.0
1718,2017-08-27 16:00:00,Arsenal,Liverpool,away,0.484816,3.45998,-2.975164,0,4,0,0.0
1718,2017-09-17 13:30:00,Arsenal,Chelsea,away,1.42208,0.762129,0.6599510000000001,0,0,1,0.0
1718,2017-10-14 17:30:00,Arsenal,Watford,away,0.988468,1.63418,-0.645712,1,2,0,0.0
1718,2017-10-22 13:30:00,Arsenal,Everton,away,3.86029,0.810989,3.049301,5,2,3,1.0
1718,2017-11-05 14:15:00,Arsenal,Manchester City,away,0.340407,2.15028,-1.809873,1,3,0,0.0
1718,2017-11-26 14:00:00,Arsenal,Burnley,away,1.75184,0.402745,1.3490950000000002,1,0,3,1.0
1718,2017-12-10 12:00:00,Arsenal,Southampton,away,0.608352,1.21942,-0.611068,1,1,1,0.0
1718,2017-12-13 20:00:00,Arsenal,West Ham,away,1.02186,0.405172,0.616688,0,0,1,0.0
1718,2017-12-28 20:00:00,Arsenal,Crystal Palace,away,1.84104,1.14522,0.6958200000000001,3,2,3,1.0
1718,2017-12-31 16:30:00,Arsenal,West Bromwich Albion,away,0.917801,1.39429,-0.47648900000000005,1,1,1,0.0
1718,2018-01-14 13:30:00,Arsenal,Bournemouth,away,1.00956,0.822285,0.18727499999999997,1,2,0,0.0
1718,2018-01-30 19:45:00,Arsenal,Swansea,away,1.15616,2.37911,-1.2229499999999998,1,3,0,0.0
1718,2018-02-10 12:30:00,Arsenal,Tottenham,away,0.487297,2.63564,-2.148343,0,1,0,0.0
1718,2018-03-04 13:30:00,Arsenal,Brighton,away,0.801513,1.48498,-0.6834669999999999,1,2,0,0.0
1718,2018-04-15 12:30:00,Arsenal,Newcastle United,away,1.41538,0.888452,0.5269280000000001,1,2,0,0.0
1718,2018-04-29 15:30:00,Arsenal,Manchester United,away,0.651541,1.54667,-0.895129,1,2,0,0.0
