team,season,points,wins,draws,losses,goals_for,goals_against,xG,xGA,xGD_per_match,ppg,run_in_points,run_in_available,run_in_ppg,high_stakes_ppg,mean_stakes_in_high_bucket
Arsenal,1920,56,14,14,10,56,48,1.3374267894736842,1.5066385789473686,-0.1692117894736842,1.4736842105263157,16,30,1.6,1.7,0.46360999999999997
Arsenal,2021,61,18,7,13,55,39,1.374931078947368,1.1376917105263156,0.23723936842105267,1.605263157894737,20,30,2.0,1.8,0.44299
Arsenal,2122,69,22,3,13,61,48,1.6681993947368423,1.273408052631579,0.3947913421052632,1.8157894736842106,15,30,1.5,1.2,0.6288600000000001
Arsenal,2223,84,26,6,6,88,43,2.013481789473684,1.1885103236842105,0.8249714657894737,2.210526315789474,15,30,1.5,2.1,0.8251200000000001
Arsenal,2324,89,28,5,5,91,29,2.2208547105263152,0.8363717210526315,1.3844829894736845,2.3421052631578947,25,30,2.5,2.5,0.85022
Arsenal,2425,74,20,14,4,69,34,1.9360501315789476,1.0521016236842105,0.883948507894737,1.9473684210526316,19,30,1.9,1.9,0.68414
Arsenal,2526,85,26,7,5,71,27,2.039121394736842,0.871942242105263,1.1671791526315791,2.236842105263158,24,30,2.4,2.4,0.96401
Liverpool,1920,99,32,3,3,85,33,1.9787728947368421,1.0413920578947369,0.9373808368421056,2.6052631578947367,20,30,2.0,2.0,0.95604
Liverpool,2021,69,20,9,9,68,42,1.900197842105263,1.2448575789473686,0.6553402631578946,1.8157894736842106,26,30,2.6,2.0,0.6227199999999999
Liverpool,2122,92,28,8,2,94,26,2.447957842105263,0.8613435526315789,1.5866142894736845,2.4210526315789473,26,30,2.6,2.6,0.8509
Liverpool,2223,67,19,10,9,75,47,2.125578868421053,1.4677194210526314,0.657859447368421,1.763157894736842,24,30,2.4,2.4,0.5024599999999999
Liverpool,2324,82,24,10,4,86,41,2.4943484736842105,1.2473356447368418,1.2470128289473685,2.1578947368421053,18,30,1.8,2.0,0.825
Liverpool,2425,84,25,9,4,86,41,2.4536668684210525,1.1136979210526317,1.3399689473684209,2.210526315789474,17,30,1.7,1.7,0.9553100000000001
Liverpool,2526,60,17,9,12,63,53,1.7699666315789473,1.4176263684210524,0.3523402631578949,1.5789473684210527,12,30,1.2,1.4,0.65758
Manchester City,1920,81,26,3,9,102,35,2.689611394736842,0.9736218157894738,1.7159895789473685,2.1315789473684212,24,30,2.4,2.1,0.6633
Manchester City,2021,86,27,5,6,83,32,2.0451373157894737,0.8056124763157895,1.2395248394736844,2.263157894736842,21,30,2.1,1.8,0.9458
Manchester City,2122,93,29,6,3,99,26,2.457891394736842,0.6634801052631579,1.7944112894736843,2.4473684210526314,24,30,2.4,2.6,0.95649
Manchester City,2223,89,28,5,5,94,33,2.2189886052631587,0.900221444736842,1.3187671605263158,2.3421052631578947,25,30,2.5,2.5,0.93475
Manchester City,2324,91,28,7,3,96,34,2.356546131578947,0.9808270131578947,1.3757191184210527,2.3947368421052633,28,30,2.8,2.6,0.94658
Manchester City,2425,71,21,8,9,72,44,1.9249586842105268,1.3921893947368424,0.5327692894736843,1.868421052631579,24,30,2.4,2.0,0.66028
Manchester City,2526,78,23,9,6,77,35,2.088409342105263,1.2234895263157897,0.8649198157894737,2.0526315789473686,19,30,1.9,2.4,0.78631
Manchester United,1920,66,18,12,8,66,36,1.7417542894736842,1.0015569473684212,0.7401973421052632,1.736842105263158,24,30,2.4,2.1,0.6511600000000001
Manchester United,2021,74,21,11,6,73,44,1.662427289473684,1.1031052368421053,0.5593220526315787,1.9473684210526316,20,30,2.0,2.1,0.66358
Manchester United,2122,58,16,10,12,57,57,1.5056554736842105,1.4961126315789475,0.009542842105263172,1.5263157894736843,11,30,1.1,1.2,0.5506300000000001
Manchester United,2223,75,23,6,9,58,43,1.8921362631578944,1.3233589210526313,0.5687773421052632,1.9736842105263157,22,30,2.2,1.4,0.5407
Manchester United,2324,60,18,6,14,57,58,1.5876290263157893,1.967390552631579,-0.3797615263157895,1.5789473684210527,13,30,1.3,1.3,0.49167000000000005
Manchester United,2425,42,11,9,18,44,54,1.4976660526315788,1.5980923684210526,-0.1004263157894737,1.105263157894737,8,30,0.8,1.6,0.36418000000000006
Manchester United,2526,71,20,11,7,69,50,1.8996939473684211,1.3231953684210527,0.5764985789473683,1.868421052631579,20,30,2.0,2.2,0.65039
