team,title_prob,top4_prob,releg_prob,pts_p5,pts_median,pts_p95
Manchester City,0.5409,0.9614,0.0,65.0,77.0,89.0
Arsenal,0.3508,0.9311,0.0,62.0,74.0,86.0
Manchester United,0.0296,0.4502,0.0012,50.0,62.0,75.0
Brighton,0.0289,0.4372,0.001,50.0,62.0,75.0
Liverpool,0.0286,0.4268,0.0013,49.0,62.0,74.0
Brentford,0.0107,0.2563,0.0031,47.0,58.0,70.0
Everton,0.0029,0.1363,0.0114,43.0,55.0,67.0
Leeds,0.0026,0.1033,0.0179,42.0,54.0,66.0
Chelsea,0.002,0.1039,0.026,41.0,53.0,66.0
Nottingham Forest,0.0012,0.0713,0.0306,40.0,52.0,64.0
Hull,0.0008,0.0314,0.0641,38.0,49.0,61.0
Sunderland,0.0008,0.0416,0.0602,38.0,50.0,62.0
Bournemouth,0.0002,0.0336,0.075,37.0,49.0,61.0
Aston Villa,0.0,0.0006,0.5641,26.0,38.0,49.0
Coventry,0.0,0.0002,0.4871,27.0,39.0,50.0
Crystal Palace,0.0,0.0028,0.3304,30.0,42.0,53.0
Ipswich,0.0,0.0019,0.3328,30.0,41.0,53.0
Fulham,0.0,0.0006,0.4526,28.0,39.0,51.0
Newcastle United,0.0,0.0067,0.1736,34.0,45.0,56.0
Tottenham,0.0,0.0028,0.3676,29.0,41.0,53.0
